,Menu,ingredient,restore health,restore stamina,effect,,"m : Meat, v : Vegie, s : Seasoning"
TRUE,double meat burger,mm,6,6,,,
TRUE,sandwich ,mv,4,4,On-Half : Gain 3 Defend,,
FALSE,dry meat,ms,3,3,On-Start : Gain 1 Thorn,,
TRUE,Taco ,vv,2,2,On-Half : Gain 1 DEF,,
TRUE,gimchi,vs,1,1,On-Exposed : Gain 2 Attack,,
TRUE,candy cane,ss,0,0,On-Hit : Gain 1 Attack,,
TRUE,The meat lord,mmm,9,9,On-Start : Gain 1 Attack and Defend,,
FALSE,meat passta,mmv,7,7,On-Hit : Restore 1 Health,,
FALSE,honey ham,mms,6,6,On-Damaged : Gain Thorn equal first damage recive,,
FALSE,meat stew,mvv,5,5,On-Half : Gain Defend equal base Defend,,
FALSE,shabu,mvs,4,4,On-Damaged : Gain 2 Attack,,
FALSE,Spicy meat,mss,3,3,On-Start : Gain Defend*2,,
FALSE,Nature's plate,vvv,3,3,On-Exposed : 1 DEF,,
FALSE,tempura veggies ,vvs,2,2,On-Hit : Gain 1 Defend,,
FALSE,fruit cake,vss,1,1,On-Start : Convert all armor to speed,,
FALSE,Grand seasoning ,sss,0,0,On-Start : Gain 1 extra life after revice gain permanally 1 speed,,
